EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
1257,1080.00,188.00,10260.00,68040.00,1080.00,0.00,86681.00,313856.00,2078880.00,0.00,0.00,0.00,16509.00,540.00,4722.22222,0.00,0.00,0.00,0.00,0.49608,0.4575,0.00,0.00,0.51657
1261,720.00,142.00,6840.00,45360.00,720.00,0.00,59430.00,208352.00,1382016.00,0.00,0.00,0.00,10968.00,360.00,4611.11111,0.00,0.00,0.00,0.00,0.58499,0.53418,0.00,0.00,0.62346
1265,80.00,142.00,760.00,5040.00,80.00,0.00,6880.00,23968.00,159360.00,0.00,0.00,0.00,1265.00,40.00,5861.11111,0.00,0.00,0.00,0.00,0.88915,0.24447,0.00,0.00,0.9277
1269,2636.00,142.00,25042.00,166068.00,2636.00,0.00,204393.00,785312.00,5206912.00,0.00,0.00,0.00,41323.00,1318.00,5972.22222,0.00,0.00,0.00,0.00,0.53524,0.51735,0.00,0.00,0.54474
1273,832.00,142.00,7904.00,52416.00,832.00,0.00,68037.00,249120.00,1653696.00,0.00,0.00,0.00,13120.00,416.00,5092.59259,0.00,0.00,0.00,0.00,0.29279,0.21655,0.00,0.00,0.32888
1277,1216.00,142.00,11552.00,76608.00,1216.00,0.00,96966.00,368352.00,2441600.00,0.00,0.00,0.00,19385.00,608.00,4787.03704,0.00,0.00,0.00,0.00,0.53688,0.50228,0.00,0.00,0.55489
1281,272.00,142.00,2584.00,17136.00,272.00,0.00,23261.00,81184.00,539040.00,0.00,0.00,0.00,4274.00,136.00,5194.44444,0.00,0.00,0.00,0.00,0.46054,0.3951,0.00,0.00,0.5272
1285,4.00,138.00,38.00,252.00,4.00,0.00,344.00,1216.00,8064.00,0.00,0.00,0.00,64.00,2.00,5481.48148,0.00,0.00,0.00,0.00,0.6348,0.63072,0.00,0.00,0.96814
1289,210.00,142.00,1995.00,13230.00,210.00,0.00,17978.00,62656.00,415488.00,0.00,0.00,0.00,3297.00,105.00,5222.22222,0.00,0.00,0.00,0.00,0.61577,0.53784,0.00,0.00,0.69164
1293,364.00,142.00,3458.00,22932.00,364.00,0.00,31119.00,107808.00,715392.00,0.00,0.00,0.00,5676.00,182.00,4777.77778,0.00,0.00,0.00,0.00,0.67482,0.59622,0.00,0.00,0.72363
1297,2.00,138.00,19.00,126.00,2.00,0.00,172.00,512.00,3424.00,0.00,0.00,0.00,27.00,1.00,6101.85185,0.00,0.00,0.00,0.00,0.58577,0.5809,0.00,0.00,0.98441
